Title,Date,URL,Article
China to develop a batch of advanced robots for disaster prevention and rescue by 2025,2024-01-05,http://en.people.cn/n3/2024/0105/c90000-20118811.html,"Home>>
		
China to develop a batch of advanced robots for disaster prevention and rescue by 2025
 (Global Times) 16:29, January 05, 2024

Visitors interact with a four-legged robot at the Exposition on China Brand 2023 in east China's Shanghai, May 10, 2023. (Photo: Xinhua)
China will develop a batch of advanced emergency robots by 2025, which can partially or completely replace human work in future disaster prevention, mitigation, and relief, said the country's emergency and information technology authorities.
The aim is to greatly improve the robots' scientific, professional, refined, and intelligent capabilities and establish a number of bases where the robots can be trialed and put into use, according to the guideline on accelerating the development of emergency robotics, which was jointly released by Ministry of Emergency Management and Ministry of Industry and Information Technology on Thursday.
The guideline required emergency robots to be able to perform tasks such as monitoring and warning, search and rescue, communication and command, logistical support, and production operations, saying such robots can enhance the efficiency and safety of production and rescue in complex and hazardous scenarios.
The two ministries emphasized robot development in scenarios of flood rescue, forest and grassland fire rescue, earthquake and geological disaster relief, urban firefighting, emergency command communication, and workplace safety, promoting the mode where robots can replace humans in large-scale disasters rescue.
The document pointed out technological difficulties which were urgently needed to be broken through, such as the robots' ability to withstand harsh environments of high temperatures, high humidity, high altitudes, extreme cold, corrosion, complex underwater conditions, as well as adverse weather conditions of strong rain, snow, and winds.
According to the Ministry of Emergency Management, the natural disasters in the first three quarters of 2023 affected more than 89 million people in China, with 499 deaths or missing due to these disasters and caused direct economic losses of more than 308 billion yuan ($43 billion).
(Web editor: Tian Yi, Liang Jun)"
Chinese electric airplane completes maiden flight,2024-01-05,http://en.people.cn/n3/2024/0105/c90000-20118727.html,"Home>>
		
Chinese electric airplane completes maiden flight
 (Xinhua) 14:33, January 05, 2024
BEIJING, Jan. 5 (Xinhua) -- A Chinese homegrown electric airplane has completed its maiden flight at an airport in the country's eastern province of Zhejiang, according to the Science and Technology Daily on Friday.
The AG60E aircraft, developed by China Aviation Industry General Aircraft Co. Ltd., is an electrically modified version of the AG60, an all-metal, side-by-side two-seater, single-engine sports aircraft which completed its first flight in 2020.
The AG60E has a total length of 6.9 meters, a wingspan of 8.6 meters and a maximum cruising speed of 185 km/h, according to its developer.
The refitting project to electrify the existing fixed-wing aircraft is a useful effort and it contributes to the low-altitude economy, a strategic emerging industry, the aircraft manufacturer said.
(Web editor: Zhang Kaiwei, Liang Jun)"
China's 4th C919 aircraft conducts flight training in E China,2024-01-05,http://en.people.cn/n3/2024/0105/c90000-20118677.html,"Home>>
		
China's 4th C919 aircraft conducts flight training in E China
 (Ecns.cn) 13:13, January 05, 2024

China's 4th self-developed large passenger aircraft C919 numbered B-919E takes off from Shanghai Hongqiao International Airport, Jan. 4, 2024. (Photo: China News Service/Yin Liqin)
The 4th C919 aircraft was delivered to China Eastern Airline and will conduct flight training at Taizhou International Airport in Yangzhou, east China's Jiangsu Province.
As of December 31, 2023, the C919 aircraft of China Eastern Airlines has carried nearly 82,000 passengers, since its maiden commercial flight in May 2023.

China's 4th self-developed large passenger aircraft C919 numbered B-919E takes off from Shanghai Hongqiao International Airport, Jan. 4, 2024. (Photo: China News Service/Yin Liqin)

China's 4th home-grown jetliner C919 numbered B-919E taxies on a runway at Shanghai Hongqiao International Airport, Jan. 4, 2024. (Photo: China News Service/Yin Liqin)

China's 4th home-grown jetliner C919 numbered B-919E taxies on a runway at Shanghai Hongqiao International Airport, Jan. 4, 2024. (Photo: China News Service/Yin Liqin)
(Web editor: Tian Yi, Liang Jun)"
2024 ASC Student Supercomputer Challenge launched in Beijing,2024-01-05,http://en.people.cn/n3/2024/0105/c90000-20118553.html,"Home>>
		
2024 ASC Student Supercomputer Challenge launched in Beijing
 (Xinhua) 09:34, January 05, 2024
BEIJING, Jan. 4 (Xinhua) -- The ASC Student Supercomputer Challenge 2024 (ASC24) was launched in Beijing on Thursday, garnering enthusiastic participation, with over 300 teams from around the world registering to take part, according to the organizing committee.
The finals are scheduled to take place at Shanghai University from April 9 to 13, the committee said, noting that the preliminary rounds mainly focus on large model inference optimization and seepage numerical simulation.
The large language model inference optimization segment requires participating teams to fully understand and master the common parallel methods of large models, and learn to use various techniques to optimize the inference process.
The seepage numerical simulation part requires participating teams to simulate the seepage of multiphase fluids such as oil, gas and water in the oil exploitation scenario, and optimize the large-scale parallel calculation process.
Initiated by China, the ASC Student Supercomputer Challenge has been held 11 times so far, drawing participation from over 10,000 college students globally.
(Web editor: Zhang Kaiwei, Liang Jun)"
Country achieves crucial technological breakthroughs,2024-01-05,http://en.people.cn/n3/2024/0105/c90000-20118488.html,"Home>>
		
Country achieves crucial technological breakthroughs
 (China Daily) 08:58, January 05, 2024
Companies eager to cash in on AI to boost global competitiveness
Yu Zhongyuan, a 59-year-old businessman engaged in foreign trade in Shenzhen, Guangdong Province, is a loyal user of Huawei Technologies Co's smartphones.
But he never expected the company's phone business to spring back to life so quickly.
After being subject to technology restrictions imposed by the United States government for four years, Huawei made a high-profile comeback to the 5G smartphone arena last year.
The company surprised the world with its Mate 60 series of smartphones, which are equipped with chips that support 5G technology. The phones made headlines worldwide and triggered an enthusiastic response from Chinese consumers.
Yu said: ""Having witnessed Huawei emerge stronger from mounting challenges, I am confident that China's technology industry can overcome any future difficulties. This is a symbolic moment.""
The recovery in Huawei's smartphone business offers an insight into how China's innovation-driven economy is scrambling to achieve breakthroughs in crucial technologies through long-term input into research and development, and by using a robust industrial support system.
Officials, company executives and experts said that despite geopolitical uncertainties and lackluster global demand, Chinese companies are eager to ride the latest technological wave, which includes artificial intelligence, or AI, to sharpen their global competitiveness and strengthen the security of key industrial chains.
The past year has seen innovation helping to set milestones in China's manufacturing industry.
The first commercial flight of the C919, China's self-developed large passenger aircraft, took off last year. The nation's first domestically produced large cruise ship, Adora Magic City, was delivered, and China surpassed Japan to become the world's largest exporter of automobiles.
Meanwhile, with AI set to unleash enormous potential in reshaping the world, Chinese companies are coming up with new applications to rival ChatGPT, a chatbot developed by the US company OpenAI, which has taken the world by storm. Such progress was made despite Washington's restrictions on exports of high-end AI chips to Beijing, the officials, company executives and experts said.
Wei Jianguo, former vice-minister of commerce, said, ""Some countries attempted to contain China's economic development by promoting decoupling, but our progress proved that their efforts have failed.""
China boasts the world's most complete industrial system, and its highly efficient industrial clusters, with close upstream and downstream connections, make Chinese companies extremely competitive on the global stage, Wei said.
""Meanwhile, China's development in high-tech sectors has promoted development of its digital economy. The nation is now closely intertwined with other countries in high-tech industries,"" said Wei, who is also vice-chairman of the China Center for International Economic Exchanges.
Data from the World Intellectual Property Organization show that China is now home to 24 of the world's top 100 science and technology innovation clusters, making it the country with the most such clusters.
 
Progress made
Huang Hanquan, head of the Academy of Macroeconomic Research, said China has made progress in key technologies in strategically important sectors, showing that scientific innovation plays an increasingly bigger role in driving economic growth. The academy is part of the National Development and Reform Commission, or NDRC.
As the innovation-driven development strategy gains traction, technological innovation continues to empower the real economy and new industries, and driving forces continue to develop and grow, Huang said.
Denis Depoux, global managing director of consultancy Roland Berger, said: ""China has demonstrated its innovation capability. It is leapfrogging in several fields, gaining leadership globally in areas like the electric vehicle chain — from batteries to charging infrastructure, photovoltaic panels, wind turbines, nuclear and telecommunications equipment.""
The nation's industrial modernization, huge consumption potential, and growing innovation prowess are three strong points that create a new China story for the world, he added.
Last month, the tone-setting Central Economic Work Conference made the construction of a modern industrial system through technological innovation the top priority for economic work this year.
The conference called for efforts to develop new productivity boosters, and produce new industries, models and impetus with cutting-edge technologies.
Chen Zhichao, an assistant researcher at the Xi Jinping Thought on Economy Study Center, which is part of the NDRC, said the call will inject strong impetus into the country's high-quality economic development.
Compared with traditional productivity tools driven by elements such as labor, land and capital, Chen said new productivity boosters are led by technological innovation, which will promote the transformation of the economic growth mode.
""Challenges still exist, and more efforts, including higher fiscal investment and stimulation of social capital, are needed to increase investment in fundamental and applied research, and cultivate high-end innovation-oriented talent,"" Chen added.
Jin Zhuanglong, minister of industry and information technology, the country's top industry regulator, said China will step up the development of a number of strategic emerging industries such as biomanufacturing, commercial aerospace, and the low-altitude economy.
The ministry will also open up new paths for future industries such as quantum and life sciences, and make extensive use of digital intelligence and green technologies to accelerate the transformation and upgrading of traditional industries, Jin said.
""Technologies such as AI can empower China's new industrialization push, and their applications in industries such as manufacturing and healthcare will be an important symbol of a new round of technological revolution and industrial transformation,"" he added.
Goldman Sachs Research forecast in a report that breakthroughs in generative AI, represented by applications such as ChatGPT, can drive a 7 percent, or almost $7 trillion, increase in global GDP and raise productivity growth by 1.5 percentage points over a 10-year period.
Well aware of the opportunities ahead, established tech heavyweights such as Alibaba, Tencent, Baidu, ByteDance and Huawei, as well as thousands of startups in China, are scrambling to develop and embrace large language models. Such models are computer algorithms fed with huge amounts of data, which are key to supporting ChatGPT-like applications.
A report, released by the Beijing Municipal Science &Technology Commission, said that as of October, China had developed at least 254 AI large language models.
Chi Xiannian, a senior engineer at the China Center for Information Industry Development, a think tank affiliated with the Ministry of Industry and Information Technology, said finance, manufacturing, governance and transportation are the top industries in China to use AI large language models.
 
Vital impact
Liu Qingfeng, chairman of iFlytek, a Chinese AI pioneer, said: ""Chinese companies must devote big, real money to research and development of fundamental science to achieve breakthroughs in AI. The impact of this generative AI technology is no less important than that of the birth of the PC or the internet.""
In October, iFlytek unveiled the latest version of its AI large language model, Spark-Desk V3.0. A test and evaluation report by the Guoyan Institute of Economic Research, which is affiliated with the Development Research Center of the State Council, said Spark-Desk V3.0 has an overall capability stronger than that of ChatGPT.
The model's core capability is evaluated in seven dimensions — text generation, language understanding, Q&A knowledge, logical reasoning, mathematic ability, coding ability, and multimodal ability, Liu said.
The ongoing AI boom is also spurring surging demand for AI chips, which are vital to enabling ChatGPT-like applications. Experts said Washington's restrictions on exports of US company Nvidia's advanced AI chips to Beijing last year have left plenty of room for competitive Chinese rivals to emerge.
For example, Huawei has launched its 910B AI chips, which have already been bought by major Chinese internet companies to support their large language models. The performance of Huawei's AI processor Ascend 910B can be roughly compared with that of Nvidia's A100 chip, iFlytek said.
Jensen Huang, CEO of Nvidia, said recently that Huawei is among a field of ""very formidable"" competitors to Nvidia in the race to produce the best AI chips.
Wei Shaojun, president of the integrated circuit design branch of the China Semiconductor Industry Association, said, ""This is the latest evidence that Washington's restrictions hurt the interests of US companies hard and accelerated Chinese companies' efforts to make technological breakthroughs.""
In addition to AI and chips, China also recorded rapid growth last year in the production of new energy vehicles, or NEVs.
In the first quarter of last year, China replaced Japan as the world's largest vehicle exporter. The China Association of Automobile Manufacturers estimates that the nation's total vehicle exports for last year will exceed 5 million, a record high.
Xu Haidong, the association's deputy chief engineer, said, ""Chinese automobile brands have accurately grasped the emerging opportunities in NEVs, and the trend of integration with intelligence and connectivity.""
A report from consultancy KPMG said Chinese carmakers are expected to capture about 15 percent of Europe's electric vehicle market by next year, as established players such as BYD and emerging companies, including NIO and Li Auto, gain popularity among European consumers.
This would mark a big step forward, as Chinese marques accounted for less than 10 percent of the 1.1 million battery-powered electric vehicles sold in Europe in 2022, KPMG said.
 

Children visit the sixth World Sound Expo in Hefei, capital of Anhui Province, in October. ZHOU MU/XINHUA
Kevin Kang, chief economist at KPMG China, said, ""Chinese brands have huge potential in the European market and could contribute the most to future sales increases there.""
Ding Yuqian, head of China Autos Research at HSBC, said China has the world's most competitive electric vehicle battery supply chain.
The single most expensive item for such a vehicle is its battery, and carmakers based in China have access to high-quality batteries produced at a relative cost advantage, with manufacturers continuing to improve this technology.
Hans-Paul Burkner, global chair emeritus of Boston Consulting Group, said electric cars are a typical example of China moving up in the value chain. Chinese companies have become highly competitive, not just because of costs, but also due to quality and innovation, he added.
""When I look at some of the new cars on the streets of Beijing and Shanghai, the electric vehicles are really impressive. This is what makes Chinese companies competitive,"" Burkner said.
""We see quite a lot of Chinese companies being the top producers of patents and really good products, which are witnessed all over the world.""
Jeffrey Sachs, a renowned economist and director of the Center for Sustainable Development at Columbia University in New York, said, ""China's strength right now is that it is at the cutting edge of many of the most important technology innovations for the future.
""These include low-carbon energy solutions, electric vehicles, batteries, supply chains, artificial intelligence, high-speed trains, and many other sectors. All of these will be very good for China's future growth.""
(Web editor: Tian Yi, Liang Jun)"
Excessive nitrogen fertilizer yields less attractive apples: research,2024-01-04,http://en.people.cn/n3/2024/0104/c90000-20118390.html,"Home>>
		
Excessive nitrogen fertilizer yields less attractive apples: research
 (Xinhua) 16:50, January 04, 2024
JINAN, Jan. 4 (Xinhua) -- Waxiness significantly influences the luster of apples, and recent research by Chinese scientists has revealed the regulatory mechanism of nitrogen on the cuticular wax of apples. The findings suggest that an excessive application of nitrogen fertilizer inhibits wax accumulation, thereby affecting the ""attractiveness"" of apples.
Apples naturally develop a wax coating during their growth to help protect the fruit and retain moisture. A research team led by Li Yuanyuan, a professor at the Shandong Agricultural University, discovered a significant decrease in the wax content of both fruit and leaves in apple orchards where nitrogen fertilizer was excessively applied.
Subsequently, they selected and compared genetic materials from various apple samples collected from major apple-producing areas in Shandong, including the cities of Yantai, Zibo and Tai'an, and concluded that excessive nitrogen ultimately reduces wax accumulation on apples through a series of gene regulation pathways.
The findings also offer a theoretical basis for enhancing the defense of apples against biotic and abiotic stress, improving their color and luster, and extending shelf life, according to the researchers.
(Web editor: Zhang Kaiwei, Liang Jun)"
Chinese researchers develop new strategy for treating aggressive breast cancer,2024-01-04,http://en.people.cn/n3/2024/0104/c90000-20118303.html,"Home>>
		
Chinese researchers develop new strategy for treating aggressive breast cancer
 (Xinhua) 15:12, January 04, 2024
SHANGHAI, Jan. 4 (Xinhua) -- Chinese scientists have developed a new strategy for treating a form of highly aggressive breast cancer by converting treatment-resistant tumors to a more treatable state.
The study published on Thursday in the journal Science Translational Medicine unveiled this new approach, which can be integrated into existing regimens to improve outcomes in patients with deadly triple-negative breast cancer.
The researchers from Fudan University analyzed the metabolism of tumor samples from 401 patients with varying homologous recombination deficiency scores. The scores reflect a tumor's response to DNA-damaging drugs and those patients with a low deficiency score tend not to respond.
Researchers identified one molecule called GDP-M that impedes DNA repair of the tumor cells and raises the patient's deficiency scores, primarily by promoting the degradation of a cancer-linked protein.
In a mouse model, supplements of the molecule made the breast tumors more responsive to approved DNA-damaging drugs such as cisplatin and boosted antitumor immunity, according to the study.
Also, GDP-M was shown in the lab to be capable of empowering a class of targeted agents for breast cancer treatment called PARP inhibitors.
The new finding points to a clinical strategy combining GDP-M with other DNA repair-targeted therapy, said the researchers.
(Web editor: Zhang Kaiwei, Liang Jun)"
Chinese satellite captures images of strong solar flare,2024-01-04,http://en.people.cn/n3/2024/0104/c90000-20118300.html,"Home>>
		
Chinese satellite captures images of strong solar flare
 (Xinhua) 15:11, January 04, 2024
BEIJING, Jan. 4 (Xinhua) -- China's solar exploration satellite Kuafu-1 has captured images of a strong solar flare emitted by the Sun on the first day of 2024, according to the Purple Mountain Observatory under the Chinese Academy of Sciences.
The solar flare, peaking at 5:55 a.m. Beijing Time on Monday, is classified as an X5.0 flare, the strongest in more than six years. Coronal mass ejections were also detected simultaneously by the satellite.
Solar flares are large explosions from the surface of the Sun that emit intense bursts of electromagnetic radiation, which can last mere minutes. They are rated based on their strength, with A-class as the smallest, followed by B, C, M and X as the most potent.
Flares and solar eruptions can impact high-frequency radio communications, electric power grids and navigation signals, and pose risks to spacecraft and astronauts.
Chen Anqin, chief forecaster of the National Center for Space Weather, said the impact of the solar flares on Earth would be minimal. However, other phenomena that accompany the flares, such as coronal mass ejections that reach Earth, can cause geomagnetic storms.
However, Chen said that X-class flares will become frequent occurrences in 2024.
Every 11 years, the Sun completes a solar cycle of calm and stormy activity and begins a new one. The current solar cycle, called Solar Cycle 25, began in December 2019. According to Chen, during each solar cycle, there are about 100 X-class solar flares, with nearly 20 X-class solar flares occurring in 2023 alone.
""Solar flares are expected to become more common in 2024 as the Sun rises to the peak of Solar Cycle 25, known as the solar maximum,"" Chen said.
The Kuafu-1 satellite was named after Kuafu, a giant in Chinese mythology who indefatigably chased the Sun. The satellite was launched aboard a Long March-2D rocket in 2022.
(Web editor: Zhang Kaiwei, Liang Jun)"
Shenzhou-17 crew shows advancement of China space station in New Year vlog,2024-01-04,http://en.people.cn/n3/2024/0104/c90000-20118141.html,"Home>>
		
Shenzhou-17 crew shows advancement of China space station in New Year vlog
By Deng Xiaoci (Global Times) 09:46, January 04, 2024

Photo: Snapshot from the China space station New Year vlog
China Manned Space Agency (CMSA) released on Wednesday a fresh episode of the China space station vlog showing the busy work and life of the current Shenzhou-17 crew in orbit on the first day of the New Year.
""The year 2024 marks the second year of the application and development phase of the China space station. Looking back at 2023, our life in space was rich and varied, with fruitful scientific research. Looking ahead to this year, we will continue to conduct numerous scientific experiments in orbit, contributing to humanity's better utilization of space,"" Shenzhou-17 mission commander Tang Hongbo said in the video.
The current Shenzhou-17 crew is the third in the Shenzhou family to welcome the New Year in orbit on the Tiangong Space Station, reflecting the progress of China's space journey from space station key tech verification and construction to application and development, the CMSA said.
In the vlog, Tang Hongbo showed the audience the Feitian spacesuit which was undergoing maintaining work, and then he floated into the sleeping quarters of the space station where viewers could see the Shenzhou-17 crew had tailored their dorm with personal decorations such as photographs of family members, global and Chinese maps.
Following the mission commander's camera, Tang Shengjie, the No.2 taikonaut of the Shenzhou-17 crew, displayed his work of tending space vegetables such as potato sprouts. ""There are no bees in space, so I am working to pollinate the potato sprouts myself.""
Jiang Xinlin, the youngest crew member, showed us how he prepared food in the space station kitchen.
The New Year menu included rice, noodles, and fried rice according to each taikonaut's preference. Also, there was pork stew, vegetables, and even dumplings for the taikonauts to enjoy on the first day of 2024.
Taikonauts can also enjoy fruit such as apples and grapes, according to Jiang.
Since entering the Tiangong Space Station on October 26, 2023, the Shenzhou-17 crew has already completed about one-third of their six-month ""business trip"" to the station. Over the past two months, taikonauts Tang Hongbo, Tang Shengjie, and Jiang Xinlin have successively completed tasks such as platform maintenance, scientific experiments, and the first extravehicular activity for experimental repair of the solar wings of the Tianhe core module.
During their stay, the ""space vegetable garden"" has seen a strong harvest. The taikonauts have picked and tasted vegetables cultivated jointly by two crews and have packed the freshly harvested vegetables for preservation. The Shenzhou-17 crew will continue to carry out a series of space station missions as planned, according to the CMSA.

Photo: Snapshot from the China space station New Year vlog
The Global Times has learned from space insiders that in 2024, China's manned space program will conduct four flight missions - the Tianzhou-7 cargo spacecraft, Shenzhou-18 manned spacecraft, Tianzhou-8 cargo spacecraft, and Shenzhou-19 manned spacecraft.
Both the Shenzhou-18 and Shenzhou-19 crews will consist of three taikonauts each. This means that the space station will witness two in-orbit ""shift changes"" this year, with six astronauts successively residing in this ""home in space,"" according to mission insiders.
The Tianzhou-7 and Tianzhou-8 cargo spacecraft, launched from the Wenchang Space Launch Site, will dock with the rear port of the Tianhe core module. The Shenzhou-18 and Shenzhou-19 manned spacecraft, launched from the Jiuquan Satellite Launch Center, will dock with the radial and forward ports of the Tianhe core module, respectively.
Currently, the Tianzhou-7 cargo spacecraft and a Long March-7 Y8 carrier rocket have arrived at the Wenchang Space Launch Site and are undergoing final assembly and testing, awaiting launch early in the year.
Starting with the launch of the Tianzhou-6 in 2023, Tianzhou cargo spacecraft have adopted an improved cargo compartment, increasing the cargo space by about 24 percent and loading capacity by about 22 percent, from the previous 6.9 tons to 7.4 tons, making it one of the most capable cargo spacecraft in the world.
(Web editor: Tian Yi, Liang Jun)"
66 new plant taxa discovered in 2023 in China,2024-01-04,http://en.people.cn/n3/2024/0104/c90000-20118123.html,"Home>>
		
66 new plant taxa discovered in 2023 in China
 (Xinhua) 09:34, January 04, 2024
KUNMING, Jan. 3 (Xinhua) -- Sixty-six plant taxa were newly discovered in 2023, according to China's National Wild Plant Germplasm Resource Center on Wednesday.
Of the newly discovered species, 12 were lycophytes and ferns while 54 were seed plants. The number of species in the family of Orchidaceae and Primulaceae accounted for one third of the new species, said the center.
More than half of the newly discovered species were found in southwest China's Yunnan Province and central China's Hubei Province, it added.
According to the center, it has collected and preserved some of these species. It will carry out further research on the preservation and expansion techniques of germplasm species such as rare taxa, in order to expand the preservation of wild plant germplasm species in China and support the conservation of China's biodiversity.
Established in 2017, the National Wild Plant Germplasm Resource Center was built and operated by the Kunming Institute of Botany under the Chinese Academy of Sciences.
(Web editor: Zhang Kaiwei, Liang Jun)"
